Metric,Mean_Fast,Mean_Cyclone,Mean_Zenoh,Improvement_Zenoh_vs_Fast (%),Improvement_Zenoh_vs_Cyclone (%)
Bytes_Send_leo02,67575.73463866608,47606.96944818458,70525.13378372401,4.364583175941266,48.140355500854895
Bytes_Received_leo02,6898.777025366117,1995.423859390188,37847.30249533146,448.6088672843127,1796.7049189688346
Packets_Send_leo02,81.06535112150921,50.56875884634157,34.75875128998968,-57.12255506314944,-31.264377289528177
Packets_Received_leo02,33.19705002734042,13.620143210706816,26.317854030501092,-20.722311142627913,93.22743985402873
Errors_Send_leo02,,,,,
Errors_Received_leo02,,,,,
Drop_Incoming_leo02,1.42,1.0,1.0,29.57746478873239,0.0
Drop_total_leo02,,,,,
CPU_percent_leo02,80.70633484162894,78.70588235294119,47.41,-41.25616025924949,-39.76307922272049
CPU_time_leo02,0.760943404634581,0.7262151366607248,1.7414439891659144,128.8532864020535,139.79725858833027
RAM_percent_leo02,0.4141496527318738,0.3573302292836349,0.6647245461040379,60.50346576878326,86.02527623723803
RAM_info_leo02,33907812.49463052,29255689.972287588,54423040.95264586,60.5029547726325,86.02549112394207
LAT_leo02,49.62729423095036,49.62730295967635,49.627289114202625,-1.0310350011850904e-05,-2.7898904228608056e-05
LONG_leo02,6.159003346694092,6.158988740606356,6.15898825776005,-0.0002449898659459588,-7.839701067574533e-06
ALT_leo02,348.86753730793595,349.819326973464,345.53731273608975,-0.9545813856869987,-1.224064511935635
Delay_local,1.4986440696714598,1.1913095576421613,0.3591052823396829,76.03798729751703,69.85625775970237
Size_local,11593.464141008119,21583.715274995295,17393.82450375488,50.031296014707706,-19.41227781157027
Bytes_Send_local,50577.81266156113,10680.279729375608,38263.7487280433,-24.346770422668868,258.2654171762997
Bytes_Received_local,53291.99536383889,50520.01162339349,67780.04649532372,27.18616751459761,34.16474841810589
Packets_Send_local,194.45199182992565,96.40394857960196,65.71613853575398,-66.20444053191721,-31.832523974377107
Packets_Received_local,119.17466574966198,123.00007692809014,76.21962062898228,-36.04377226524886,-38.03286751312947
Errors_Send_local,,,,,
Errors_Received_local,,,,,
Drop_Incoming_local,1.7142857142857142,,,,
Drop_total_local,,,,,
CPU_percent_local,21.633333333333333,,24.95,15.331278890600924,
CPU_time_local,0.16490301812619446,0.11416628591524594,0.2277055180933471,38.084506081685,99.45075401891388
RAM_percent_local,0.2860140299564914,0.19061433855974838,0.4002076986966972,39.92589760634365,109.956764911078
RAM_info_local,47096627.96192669,31387591.245400064,65900371.1623547,39.925880077081345,109.95676491107798
Ping_target_local,0.3747990999678559,0.5851299536207926,0.9254878811028546,146.92905644176514,58.16792071161668
LAT_local,49.625817165364836,49.625887650340424,49.62581534062261,-3.6770018747708312e-06,-0.00014570967138105847
LONG_local,6.158882768538256,6.158844147015194,6.158806517532496,-0.001238065548993054,-0.0006109828695055758
ALT_local,364.3570816870254,354.22701628942576,364.8303266396171,0.12988493331884954,2.9933657972399765
